question,answer,generate_answer
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ cần nắm vững kiến thức về quy trình nào?,Sinh viên cần nắm vững kiến thức về quy trình phát triển phần mềm.,Tôi không biết
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể làm gì với ngôn ngữ lập trình?,Sinh viên có thể lập trình thành thạo một số ngôn ngữ lập trình thông dụng.,Không có thông tin cụ thể về việc sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể làm gì với ngôn ngữ lập trình trong ngữ cảnh được cung cấp. 
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có khả năng xây dựng loại giao diện nào?,Sinh viên có khả năng xây dựng giao diện người dùng trong xây dựng hệ thống phần mềm.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể đảm nhiệm vị trí công việc nào?,Sinh viên có thể đảm nhiệm vị trí lập trình viên hệ thống và cơ sở dữ liệu.,Sinh viên tốt nghiệp ngành Công nghệ Thông tin chương trình chất lượng cao sau khi tốt nghiệp có khả năng tham mưu tư vấn và có khả năng thực hiện nhiệm vụ với tư cách như một chuyên viên trong lĩnh vực công nghệ thông
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể trở thành chuyên viên trong lĩnh vực nào?,Sinh viên có thể trở thành chuyên viên an ninh mạng.,Sinh viên tốt nghiệp ngành Công nghệ Thông tin chương trình chất lượng cao sau khi tốt nghiệp có khả năng tham mưu tư vấn và có khả năng thực hiện nhiệm vụ với tư cách như một chuyên viên trong lĩnh vực công nghệ thông
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể phát triển lên vị trí quản lý nào?,Sinh viên có thể phát triển lên trưởng nhóm phát triển phần mềm.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể học lên bậc học nào?,"Sinh viên có thể học lên các bậc cao hơn như thạc sỹ, tiến sĩ.","Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có thể tiếp tục học bậc sau đại học các chuyên ngành thuộc lĩnh vực Công nghệ thông tin, Điện tử – Viễn thông; Nghiên"
Sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ có cần phẩm chất đạo đức nào không?,"Sinh viên cần trung thực, lễ độ, khiêm tốn và nhiệt tình.","Có, sinh viên tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại trường Đại học Công nghệ cần có phẩm chất đạo đức sau:"
Sinh viên tốt nghiệp chương trình Công nghệ thông tin định hướng thị trường Nhật Bản cần đạt trình độ tiếng Nhật tối thiểu là bao nhiêu?,Tối thiểu tương đương N3 theo Chuẩn đánh giá tiếng Nhật.,Không biết
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản có thể làm việc ở vị trí nào?,"Kỹ sư cầu nối Nhật Bản, Lập trình viên, Chuyên viên phân tích, thiết kế, phát triển hệ thống,...","Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản có thể làm việc ở vị trí tham mưu tư vấn và kỹ sư trong lĩnh vực Công nghệ Thông tin, đáp ứng các yêu cầu cao về nghiên cứu"
Chương trình đào tạo ngành Công nghệ Thông tin định hướng thị trường Nhật Bản trang bị kiến thức gì về văn hóa doanh nghiệp?,Kiến thức về văn hóa doanh nghiệp CNTT Nhật Bản.,"Chương trình đào tạo ngành Công nghệ Thông tin định hướng thị trường Nhật Bản trang bị kiến thức về văn hóa doanh nghiệp CNTT Nhật Bản để sinh viên có thể vận dụng vào thực tế. Cụ thể, sinh viên được tr"
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kiến thức gì về Toán học?,Vận dụng các kiến thức liên quan đến Giải tích toán học và Đại số cao cấp.,Không biết
Sinh viên ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kiến thức gì về tin học?,"Giải thích được các kiến thức cơ bản về thông tin, sử dụng được công cụ xử lý thông tin thông dụng và có khả năng phân tích, đánh giá và lập trình một ngôn ngữ lập trình.",Tôi không biết
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kỹ năng gì về ngoại ngữ?,Có kỹ năng ngoại ngữ chuyên ngành ở mức có thể hiểu được các ý chính của một báo cáo hay bài phát biểu về các chủ đề quen thuộc trong công việc liên quan đến ngành được đào tạo.,Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kỹ năng sử dụng ngoại ngữ tiếng Nhật để giao tiếp hiệu quả trong môi trường làm việc tại Nhật Bản. 
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản có thể học lên bậc cao hơn nào?,"Thạc sĩ, tiến sĩ.","Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản có thể học tập nâng cao tại các cơ sở đào tạo trong nước và nước ngoài, đặc biệt là Nhật Bản. "
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có phẩm chất đạo đức nào?,"Trung thực, lễ độ, khiêm tốn, nhiệt tình.",Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có phẩm chất đạo đức sau:
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kỹ năng làm việc nhóm như thế nào?,"Biết hợp tác với các thành viên khác trong nhóm, biết cách chia sẻ thông tin trong nhóm và có kỹ năng đánh giá chất lượng công việc sau khi hoàn thành và kết quả thực hiện của các thành viên trong nhóm.",Không có thông tin cụ thể về kỹ năng làm việc nhóm của sinh viên ngành Công nghệ Thông tin định hướng thị trường Nhật Bản trong ngữ cảnh được cung cấp. 
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kỹ năng giao tiếp như thế nào?,"Biết truyền đạt vấn đề và giải pháp tới người khác tại nơi làm việc, chuyển tải, phổ biến kiến thức kỹ năng trong những việc thực hiện nhiệm vụ cụ thể hoặc phức tạp; biết cách lập luận, sắp xếp ý tưởng.",Sinh viên tốt nghiệp ngành Công
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kiến thức gì về vật lý?,Biết được các kiến thức cơ bản về Vật lý đại cương; Hiểu được các hiện tượng và quy luật Vật lý và các ứng dụng liên quan trong khoa học kỹ thuật và đời sống.,"Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có kiến thức lý thuyết chuyên sâu về vật lý hiện đại, công nghệ nano và ứng dụng. Họ cũng cần nắm vững kỹ thuật và có kiến thức thực tế"
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có những kỹ năng nghề nghiệp nào?,"Có kỹ năng hoàn thành công việc phức tạp đòi hỏi vận dụng kiến thức lý thuyết và thực tiễn của ngành được đào tạo trong những bối cảnh khác nhau; có kỹ năng phân tích, tổng hợp, đánh giá dữ liệu và thông tin, tổng hợp ý kiến tập thể và sử dụng những thành tựu mới về khoa học công nghệ để giải quyết những vấn đề thực tế hay trừu tượng trong lĩnh vực được đào tạo; có năng lực dẫn dắt chuyên môn để xử lý những vấn đề quy mô địa phương và vùng miền.",- Làm việc độc lập
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có khả năng tư duy như thế nào?,"Có khả năng phản biện, phê phán và sử dụng các giải pháp thay thế trong điều kiện môi trường không xác định hoặc thay đổi; Có tư duy logic; Có tư duy phân tích, tổng hợp; Có tư duy toàn cục.",Có khả năng làm việc độc
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản cần có năng lực sáng tạo như thế nào?,"Biết sử dụng kiến thức trong công tác; Biết cách đề xuất các phương pháp mới, các hướng phát triển mới đưa lại lợi ích cho cộng đồng, xã hội, gắn với sự hài hòa, phát triển bền vững và các yếu tố văn hóa.",Không có thông tin cụ thể về năng lực sáng tạo của sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản trong ngữ cảnh được cung cấp. 
Sinh viên tốt nghiệp ngành Công nghệ Thông tin định hướng thị trường Nhật Bản có thể đảm nhiệm mảng nghiệp vụ nào ở mức 3 theo chuẩn ITSS?,"Kiến trúc ứng dụng, Phát triển hệ thống, Thuê ngoài, Dịch vụ mạng, Nền tảng, Cơ sở dữ liệu, Nền tảng ứng dụng chung, An ninh, Hệ thống ứng dụng nghiệp vụ, Gói ứng dụng nghiệp vụ, Phần mềm ứng dụng, Quản lý hoạt động, Vận hành hệ thống, Vận hành, Dịch vụ hỗ trợ.",Không biết
Tổng số tín chỉ của chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ là bao nhiêu?,135 tín chỉ,136 tín chỉ
Khối kiến thức chung trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,"29 tín chỉ (Không tính các học phần GDTC, GDQP-AN và Kĩ năng bổ trợ)",
"Học phần ""Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin 1"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức chung,Không biết
"Số tín chỉ của học phần ""Đại số"" trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ là bao nhiêu?",4 tín chỉ,Không biết
"Học phần ""Giải tích 1"" yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Không có học phần tiên quyết,Không biết
"Học phần ""Tín hiệu và hệ thống"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức theo khối ngành,Không biết
"Học phần ""Cấu trúc dữ liệu và giải thuật"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức theo khối ngành,Cấu trúc dữ liệu và giải thuậtData Structures and Algorithms | 4 | 45 | 30 | 125 | INT1008 | CSN Row 34: 28. | AIT2
"Học phần ""Lập trình hướng đối tượng"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức theo nhóm ngành,"Học phần ""Lập trình hướng đối tượng"" thuộc khối kiến thức chung theo nhóm ngành AI, DS trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ. "
"Học phần ""Kiến trúc máy tính"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức theo nhóm ngành,Không biết
"Học phần ""Lập trình nâng cao"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức ngành (Các học phần bắt buộc),Không biết
"Học phần ""Hệ quản trị cơ sở dữ liệu"" yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",INT2207 (Cơ sở dữ liệu),Không biết
"Học phần ""Thực tập chuyên ngành"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức ngành (Các học phần bắt buộc),Khối kiến thức ngành | 51 |  |  |  |  | Row 37: V.1 | Các học phần bắt buộc | 12 |  |  |  |  | Row 38:
"Học phần ""Phương pháp tính"" yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",MAT1093 (Đại số) và MAT1042 (Giải tích 2),Không biết
"Học phần ""Kiểm thử và đảm bảo chất lượng phần mềm"" yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",INT2204 (Lập trình hướng đối tượng),Không biết
"Học phần ""Khóa luận tốt nghiệp"" thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ?",Khối kiến thức ngành (Khóa luận tốt nghiệp/Các học phần thay thế khoá luận tốt nghiệp),Khóa luận tốt nghiệp (*) thuộc khối kiến thức chung (LLCT) trong chương trình đào tạo ngành Công nghệ Thông tin tại Trường Đại học Công nghệ. 
Trường Đại học Công nghệ đào tạo ngành Công nghệ Nông nghiệp bao nhiêu tín chỉ?,151 tín chỉ,Trường Đại học Công nghệ đào tạo ngành Công nghệ Nông nghiệp 151 tín chỉ (theo chương trình đào tạo thí điểm). 
"Chuẩn đầu ra về ngoại ngữ của sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ là gì?",Tương đương bậc 3 theo khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.,Không biết
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kiến thức về lĩnh vực nào?","Vật lý, toán học, tin học.","Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kiến thức về:"
"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kiến thức về thực vật, động vật và lĩnh vực nào khác?",Vi sinh vật học,"Không có thông tin cụ thể về việc sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kiến thức về thực vật, động vật và lĩnh vực nào khác trong ngữ cảnh được cung cấp. "
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần thành thạo ngôn ngữ lập trình nào?",Một ngôn ngữ lập trình cơ bản.,Không biết
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ được trang bị kiến thức về hệ sinh thái nào?",Hệ sinh thái nông nghiệp.,"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ được trang bị kiến thức về hệ sinh thái nông nghiệp. Cụ thể, họ sẽ học về các định hướng chuyên ngành như hệ sinh thái nông nghiệp, đất can"
"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể làm việc ở vị trí nào liên quan đến kỹ thuật số?",Kỹ sư công nghệ nông nghiệp kỹ thuật số.,Không biết
"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể làm công việc gì liên quan đến giống cây trồng?",Nhân giống cây trồng trong vườn ươm.,"Theo ngữ cảnh được cung cấp, sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể làm công việc liên quan đến giống cây trồng như sau:"
"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể đảm nhiệm vị trí cán bộ quản lý ở đâu?",Các Sở/Bộ Khoa học Công nghệ và Sở/Bộ Nông nghiệp và Phát triển Nông thôn.,"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể đảm nhiệm vị trí cán bộ quản lý ở các Sở/Bộ Khoa học Công nghệ và Sở/Bộ Nông nghiệp và Phát triển Nông thôn"
"Sinh viên tốt nghiệp ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ có thể học tiếp bậc sau đại học chuyên ngành nào?","Công nghệ nông nghiệp, công nghệ thông tin, cơ điện tử, điện tử viễn thông, điều khiển và tự động hóa, vật liệu tiên tiến, công nghệ sinh học nông nghiệp.",- Công nghệ nông nghiệp
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kỹ năng gì về công việc?",Kỹ năng hoàn thành công việc phức tạp đòi hỏi vận dụng kiến thức lý thuyết và thực tiễn.,"- Thiết kế, lập trình, chế tạo, khai thác, vận hành, bảo trì các hệ thống thiết bị công nghệ sử dụng trong nông nghiệp và quản lý hệ thống nông nghiệp công nghệ cao dựa trên nền tảng kỹ thuật"
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kỹ năng gì về tư duy?",Kỹ năng phát hiện vấn đề.,"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kỹ năng tư duy logic tốt, có năng lực sáng tạo để giải quyết các bài toán ứng dụng cụ thể, và có năng lực tự học để nắm bắt tri"
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kỹ năng gì về nghiên cứu?",Kỹ năng thiết lập giả thiết.,"Không có thông tin cụ thể về kỹ năng nghiên cứu của sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ trong ngữ cảnh được cung cấp. "
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có kỹ năng gì về làm việc nhóm?",Kỹ năng đánh giá chất lượng công việc sau khi hoàn thành.,Không biết
"Sinh viên ngành Công nghệ Nông nghiệp, Trường Đại học Công nghệ cần có phẩm chất đạo đức nào?","Lễ độ, khiêm tốn, nhiệt tình, trung thực.",- Trung thực
Tổng số tín chỉ của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa là bao nhiêu?,150 tín chỉ,Tổng số tín chỉ của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa là 150 tín chỉ. 
Khối kiến thức chung của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,16 tín chỉ,
Khối kiến thức theo lĩnh vực của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,22 tín chỉ,- Khối kiến thức theo lĩnh vực: 19 tín chỉ
Khối kiến thức theo khối ngành của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,6 tín chỉ,150 tín chỉ
Khối kiến thức theo nhóm ngành của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,14 tín chỉ,150 tín chỉ
Khối kiến thức ngành của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,92 tín chỉ,80 tín chỉ
Phần thực tập và tốt nghiệp của chương trình đào tạo ngành Kỹ thuật điều khiển và tự động hóa chiếm bao nhiêu tín chỉ?,13 tín chỉ,Tôi không biết.  
Học phần Triết học Mác – Lênin có mã học phần là gì?,PHI1006,PHI1006
Học phần Kinh tế chính trị Mác – Lênin yêu cầu học phần tiên quyết nào?,PHI1006,PHI1006
Học phần Giải tích 2 yêu cầu học phần tiên quyết nào?,MAT1041,Không biết
Học phần Vật lý đại cương 2 yêu cầu học phần tiên quyết nào?,EPN1095,Không biết
Học phần Phương pháp tính trong kỹ thuật yêu cầu học phần tiên quyết nào?,"INT1008, MAT1093, MAT1042",Không biết
Học phần Cơ học kỹ thuật 2 yêu cầu học phần tiên quyết nào?,EMA2036,Tôi không biết
Học phần Nhập môn điều khiển thông minh yêu cầu học phần tiên quyết nào?,"MAT1042, EMA2013",Không biết
"Học phần Lập trình nâng cao ứng dụng trong đo lường, điều khiển yêu cầu học phần tiên quyết nào?","INT1008, EMA2013",Không biết
Chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ yêu cầu bao nhiêu tín chỉ?,"150 tín chỉ (chưa tính Giáo dục thể chất, Giáo dục quốc phòng – an ninh, kĩ năng bổ trợ).",134 tín
Khối kiến thức chung trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,21 tín chỉ.,
Khối kiến thức ngành trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,87 tín chỉ.,
Sinh viên ngành Công nghệ Vật liệu của Trường Đại học Công nghệ phải thực tập công nghiệp bao nhiêu tín chỉ?,6 tín chỉ.,87
Sinh viên ngành Công nghệ Vật liệu của Trường Đại học Công nghệ phải thực hiện đồ án tốt nghiệp bao nhiêu tín chỉ?,10 tín chỉ.,10 tín
Học phần Triết học Mác – Lênin thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Khối kiến thức chung.,Không biết
Học phần Đại số thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Khối kiến thức theo lĩnh vực.,Không biết
Học phần Cơ – Nhiệt thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Khối kiến thức theo khối ngành.,Không biết
Học phần Vật lý lượng tử thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Khối kiến thức theo nhóm ngành.,A: Vật lý lượng tử thuộc khối kiến thức theo nhóm ngành trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ. 
Học phần Nhập môn công nghệ vật liệu và vi điện tử thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Khối kiến thức ngành.,Không biết
Học phần Vật liệu ứng dụng trong vi điện tử là học phần bắt buộc hay tự chọn thuộc chuyên sâu Công nghệ vật liệu của Trường Đại học Công nghệ?,Bắt buộc.,"Học phần Vật liệu ứng dụng trong vi điện tử (EPN3075) là học phần bắt buộc thuộc chuyên sâu Công nghệ vật liệu của Trường Đại học Công nghệ. Điều này được xác nhận từ thông tin trong ngữ cảnh,"
Học phần Công nghệ chế tạo pin mặt trời là học phần bắt buộc hay tự chọn thuộc chuyên sâu Công nghệ vật liệu của Trường Đại học Công nghệ?,Tự chọn.,Học phần Công nghệ chế tạo pin mặt trời (EPN3055) là học phần tự chọn thuộc chuyên sâu Công nghệ vật liệu của Trường Đại học Công nghệ. 
Học phần Kỹ thuật CMOS là học phần bắt buộc hay tự chọn thuộc chuyên sâu Công nghệ vi điện tử của Trường Đại học Công nghệ?,Bắt buộc.,"Học phần Kỹ thuật CMOS (EPN3082) là học phần bắt buộc thuộc chuyên sâu Công nghệ vi điện tử của Trường Đại học Công nghệ. Điều này được xác nhận từ thông tin trong ngữ cảnh, cụ thể là"
Học phần Công nghệ vi cơ điện tử là học phần bắt buộc hay tự chọn thuộc chuyên sâu Công nghệ vi điện tử của Trường Đại học Công nghệ?,Tự chọn.,"Học phần Công nghệ vi cơ điện tử (EMA2028) là học phần bắt buộc thuộc chuyên sâu Công nghệ vi điện tử của Trường Đại học Công nghệ. Điều này được xác nhận từ thông tin trong ngữ cảnh, cụ thể là"
Học phần Đồ họa kỹ thuật thuộc khối kiến thức nào trong chương trình đào tạo ngành Công nghệ Vật liệu của Trường Đại học Công nghệ?,Kiến thức bổ trợ.,Không biết
Tổng số tín chỉ của chương trình đào tạo ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ là bao nhiêu?,151 tín chỉ.,151 tín chỉ
Sinh viên ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức chung?,21 tín chỉ.,21 tín chỉ
Số tín chỉ khối kiến thức theo lĩnh vực của chương trình đào tạo ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ là bao nhiêu?,22 tín chỉ.,22 tín chỉ
Khối kiến thức theo khối ngành của chương trình đào tạo ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ gồm bao nhiêu tín chỉ?,10 tín chỉ.,10 tín chỉ
Sinh viên ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ cần tích lũy bao nhiêu tín chỉ cho khối kiến thức theo nhóm ngành?,33 tín chỉ.,10 tín chỉ
Số tín chỉ của khối kiến thức ngành trong chương trình đào tạo ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ là bao nhiêu?,65 tín chỉ.,22 tín chỉ
Khối kiến thức thực tập và tốt nghiệp của chương trình đào tạo ngành Công nghệ kỹ thuật điện tử - viễn thông (CLC TT23) tại Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,17 tín chỉ.,Không biết
Học phần Kinh tế chính trị Mác - Lênin của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Triết học Mác – Lênin.,A
Học phần Giải tích 2 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Giải tích 1.,Không biết
Học phần Vật lý đại cương 2 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Vật lý đại cương 1.,Không biết
Học phần Tín hiệu và hệ thống của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Giải tích 1.,Không biết
Học phần Cấu trúc dữ liệu và giải thuật của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Nhập môn lập trình.,Không biết
Học phần Phương pháp tính của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Đại số và Giải tích 2.,Không biết
Học phần Xử lý tín hiệu số của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Tín hiệu và hệ thống.,Không biết
Học phần Kỹ thuật điện từ của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Vật lý đại cương 2.,Không biết
Trang web này thuộc về trường nào?,"Trường Đại học Công nghệ, ĐHQGHN.",Không biết
Nội dung chính của trang web Trường Đại học Công nghệ này là gì?,"Giao lưu, trao đổi sinh viên.",Trường Đại học Công nghệ – ĐHQGHN tổ chức đào tạo các ngành học hiện đại đáp ứng nhu cầu phát triển nguồn nhân lực trong bối cảnh cách mạng công nghiệp lần thứ tư bao gồm các ngành thuộc các lĩnh vực công nghệ
Chương trình trao đổi sinh viên DiscoverNUS kỳ mùa Thu năm 2025 được tổ chức ở đâu?,Đại học Quốc gia Singapore (NUS).,Chương trình trao đổi sinh viên DiscoverNUS kỳ mùa Thu năm 2025 được tổ chức trực tiếp tại cơ sở đào tạo của Đại học Quốc gia Hà Nội. 
Văn bản thông báo về chương trình trao đổi sinh viên DiscoverNUS kỳ mùa Thu năm 2025 của ĐHQGHN có số hiệu bao nhiêu?,983/ĐHQGHN-HT&PT.,983/ĐHQGHN-HT&PT
Đại học Waseda nằm ở quốc gia nào?,Nhật Bản.,Nhật Bản
"Chương trình ""FINSPARK-Unleash your Maverick"" hướng đến đối tượng nào?","Các tài năng trẻ trong lĩnh vực tài chính, công nghệ và đổi mới sáng tạo.","Chương trình ""FINSPARK-Unleash your Maverick"" hướng đến đối tượng là các tài năng trẻ trong lĩnh vực tài chính, công nghệ và đổi mới sáng tạo. Mục đích của chương trình là nuôi dưỡng và kết nối các tài"
"Học viện nào đã gửi công văn về việc tổ chức chương trình ""FINSPARK-Unleash your Maverick""?",Học viện Ngân hàng.,"Trước 15h00,"
Chương trình trao đổi sinh viên/ học viên kỳ mùa Thu năm 2025 được tổ chức tại trường đại học nào ở Nhật Bản?,Đại học Kyoto.,"Chương trình trao đổi sinh viên/ học viên kỳ mùa Thu năm 2025 được tổ chức tại Đại học Kyoto, Nhật Bản. "
Chương trình AsTW là viết tắt của cụm từ gì?,ASEAN in Today’s World.,Thời gian tham dự chương trình AsTW 20
Chương trình AsTW năm 2025 diễn ra trong khoảng thời gian nào?,Từ ngày 17/2/2025 – 27/2/2025.,Từ ngày 17/2/2025 – 27/2/2025 
Diễn đàn giáo dục AUN lần thứ 20 và ASEAN + 3 lần thứ 9 có bao gồm hoạt động nào dành cho sinh viên?,Cuộc thi Hùng biện sinh viên 2024.,Không biết
